,city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
0,合肥,龙岗-临泉东路和王岗大道交叉口东南角,90㎡,中层（共18层）,圣地亚哥,128万,安徽,3室2厅,南北向,14222元/㎡,2013年建,https://hf.esf.fang.com/chushou/3_404230646.htm
1,合肥,龙岗-临泉东路和王岗大道交叉口东南角,90㎡,中层（共18层）,圣地亚哥,128万,安徽,3室2厅,南北向,14222元/㎡,2013年建,https://hf.esf.fang.com/chushou/3_404230646.htm
2,合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_404304901.htm
3,合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_404304901.htm
4,合肥,撮镇-文一名门金隅裕溪路与东风大道交口,37㎡,中层（共22层）,文一名门金隅,32万,安徽,2室1厅,南北向,8649元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_404372096.htm
5,合肥,撮镇-文一名门金隅裕溪路与东风大道交口,37㎡,中层（共22层）,文一名门金隅,32万,安徽,2室1厅,南北向,8649元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_404372096.htm
6,合肥,龙岗-长江东路与和县里交口,50㎡,高层（共30层）,柏庄金座,46万,安徽,2室1厅,南向,9200元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_398859799.htm
7,合肥,龙岗-长江东路与和县里交口,50㎡,高层（共30层）,柏庄金座,46万,安徽,2室1厅,南向,9200元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_398859799.htm
8,合肥,新亚汽车站-张洼路与临泉路交汇处向北100米(原红星机械,120㎡,中层（共27层）,天目未来,158万,安徽,4室2厅,南向,13167元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_381138154.htm
9,合肥,新亚汽车站-张洼路与临泉路交汇处向北100米(原红星机械,120㎡,中层（共27层）,天目未来,158万,安徽,4室2厅,南向,13167元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_381138154.htm
10,合肥,骆岗-东二环路与南淝河路交口东南,94.7㎡,低层（共26层）,金隅大成郡,168万,安徽,3室2厅,南向,17740元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_395799614.htm
11,合肥,骆岗-东二环路与南淝河路交口东南,94.7㎡,低层（共26层）,金隅大成郡,168万,安徽,3室2厅,南向,17740元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_395799614.htm
12,重庆,礼嘉-光照路附近 (金通大道与金海大道交界处步行5,123㎡,低层（共8层）,礼悦江山,176.5万,直辖市,4室2厅,南向,14350元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195837996.htm
13,重庆,礼嘉-光照路附近 (金通大道与金海大道交界处步行5,123㎡,低层（共8层）,礼悦江山,176.5万,直辖市,4室2厅,南向,14350元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195837996.htm
14,合肥,,,,,,安徽,,,,,
15,合肥,,,,,,安徽,,,,,
16,合肥,撮镇-裕溪路与东风大道交口,32㎡,中层（共28层）,文一名门金隅,25万,安徽,2室1厅,南向,7812元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_402726185.htm
17,合肥,撮镇-裕溪路与东风大道交口,32㎡,中层（共28层）,文一名门金隅,25万,安徽,2室1厅,南向,7812元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_402726185.htm
18,合肥,龙岗-临泉东路与通达路交口西北,83㎡,低层（共6层）,静安新天地,99万,安徽,2室2厅,南北向,11928元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_404229188.htm
19,合肥,龙岗-临泉东路与通达路交口西北,83㎡,低层（共6层）,静安新天地,99万,安徽,2室2厅,南北向,11928元/㎡,2012年建,https://hf.esf.fang.com/chushou/3_404229188.htm
20,合肥,合钢-上海路与滨河路交口,56㎡,低层（共28层）,一尔悦城,52万,安徽,3室2厅,南北向,9286元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_391268976.htm
21,合肥,合钢-上海路与滨河路交口,56㎡,低层（共28层）,一尔悦城,52万,安徽,3室2厅,南北向,9286元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_391268976.htm
22,合肥,长江批发市场-长江东大街与花冲路交口西南角,33㎡,高层（共33层）,利港银河之光,27万,安徽,2室1厅,南向,8182元/㎡,,https://hf.esf.fang.com/chushou/3_395765691.htm
23,合肥,长江批发市场-长江东大街与花冲路交口西南角,33㎡,高层（共33层）,利港银河之光,27万,安徽,2室1厅,南向,8182元/㎡,,https://hf.esf.fang.com/chushou/3_395765691.htm
24,合肥,长江批发市场-临泉东路与顺祥路交汇处,86㎡,中层（共15层）,皇马花园,105万,安徽,2室2厅,南北向,12209元/㎡,2016年建,https://hf.esf.fang.com/chushou/3_404300268.htm
25,合肥,长江批发市场-临泉东路与顺祥路交汇处,86㎡,中层（共15层）,皇马花园,105万,安徽,2室2厅,南北向,12209元/㎡,2016年建,https://hf.esf.fang.com/chushou/3_404300268.htm
26,重庆,天星桥-小龙坎正街369号,57㎡,高层（共26层）,融侨诺丁阳光,80万,直辖市,1室1厅,南向,14035元/㎡,2007年建,https://cq.esf.fang.com/chushou/3_195696489.htm
27,重庆,天星桥-小龙坎正街369号,57㎡,高层（共26层）,融侨诺丁阳光,80万,直辖市,1室1厅,南向,14035元/㎡,2007年建,https://cq.esf.fang.com/chushou/3_195696489.htm
28,重庆,凤天路-凤西路一站,100㎡,低层（共32层）,华宇城,160万,直辖市,3室2厅,南北向,16000元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195860939.htm
29,重庆,凤天路-凤西路一站,100㎡,低层（共32层）,华宇城,160万,直辖市,3室2厅,南北向,16000元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195860939.htm
30,重庆,龙兴-两江新区龙兴两江大道,131㎡,中层（共12层）,协信哈罗国际,145万,直辖市,4室2厅,南向,11069元/㎡,2017年建,https://cq.esf.fang.com/chushou/3_195891373.htm
31,重庆,龙兴-两江新区龙兴两江大道,131㎡,中层（共12层）,协信哈罗国际,145万,直辖市,4室2厅,南向,11069元/㎡,2017年建,https://cq.esf.fang.com/chushou/3_195891373.htm
32,重庆,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),88.4㎡,高层（共32层）,康田国际,135万,直辖市,2室2厅,南向,15271元/㎡,2009年建,https://cq.esf.fang.com/chushou/3_195514315.htm
33,重庆,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),88.4㎡,高层（共32层）,康田国际,135万,直辖市,2室2厅,南向,15271元/㎡,2009年建,https://cq.esf.fang.com/chushou/3_195514315.htm
34,重庆,巴滨路-龙洲湾巴滨路(巴南新区府附近),91.71㎡,低层（共31层）,华宇龙湾,92万,直辖市,3室2厅,南北向,10032元/㎡,2015年建,https://cq.esf.fang.com/chushou/3_195903338.htm
35,重庆,巴滨路-龙洲湾巴滨路(巴南新区府附近),91.71㎡,低层（共31层）,华宇龙湾,92万,直辖市,3室2厅,南北向,10032元/㎡,2015年建,https://cq.esf.fang.com/chushou/3_195903338.htm
36,重庆,,,,,,直辖市,,,,,
37,重庆,,,,,,直辖市,,,,,
38,重庆,江津-江津双福新区津马大道与福成大道交汇处,98㎡,中层（共32层）,中骏.雍景湾,63.5万,直辖市,3室2厅,南北向,6480元/㎡,,https://cq.esf.fang.com/chushou/3_195769286.htm
39,重庆,江津-江津双福新区津马大道与福成大道交汇处,98㎡,中层（共32层）,中骏.雍景湾,63.5万,直辖市,3室2厅,南北向,6480元/㎡,,https://cq.esf.fang.com/chushou/3_195769286.htm
